id,name,validation_rules,validation
155,Pause Battery Start Time,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
156,Pause Battery End Time,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
258,Force Off Grid,['boolean'],Value must be either true or false
265,Export Power Priority,"['in:0,1,2']","Value must be one of: 0, 1, 2 (Load First, Battery First, Grid First)"
267,Battery Charge Power Percentage,"['between:1,100']",Value must be between 1 and 100
268,Battery Discharge Power Percentage,"['between:1,100']",Value must be between 1 and 100
271,Enable EPS,['boolean'],Value must be either true or false
380,Enable Plant EMS Control,['boolean'],Value must be either true or false
384,Discharge Start Time Slot 1,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
385,Discharge End Time Slot 1,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
386,Discharge SOC % Limit 1,"['between:4,100']",Value must be between 4 and 100
387,Discharge Start Time Slot 2,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
388,Discharge End Time Slot 2,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
389,Discharge SOC % Limit 2,"['between:4,100']",Value must be between 4 and 100
390,Discharge Start Time Slot 3,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
391,Discharge End Time Slot 3,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
392,Discharge SOC % Limit 3,"['between:4,100']",Value must be between 4 and 100
393,Charge Start Time Slot 1,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
394,Charge End Time Slot 1,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
395,Charge SOC % Limit 1,"['between:4,100']",Value must be between 4 and 100
396,Charge Start Time Slot 2,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
397,Charge End Time Slot 2,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
398,Charge SOC % Limit 2,"['between:4,100']",Value must be between 4 and 100
399,Charge Start Time Slot 3,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
400,Charge End Time Slot 3,['date_format:H:i'],Value format should be HH:mm. Use correct time range for hour and minutes
401,Charge SOC % Limit 3,"['between:4,100']",Value must be between 4 and 100
